iter	Passed	Remaining
0	4	830
1	8	854
2	12	814
3	15	782
4	19	766
5	23	752
6	27	745
7	30	737
8	34	732
9	38	726
10	41	719
11	45	710
12	49	706
13	53	705
14	56	700
15	60	696
16	64	690
17	67	684
18	71	681
19	75	676
20	79	674
21	82	670
22	86	665
23	90	660
24	94	658
25	97	654
26	101	651
27	105	648
28	109	644
29	113	640
30	116	637
31	120	635
32	125	633
33	129	630
34	133	627
35	137	624
36	140	621
37	144	616
38	148	612
39	152	610
40	156	607
41	160	603
42	164	599
43	167	595
44	171	592
45	175	588
46	180	586
47	184	583
48	188	580
49	192	578
50	196	575
51	200	570
52	204	567
53	209	565
54	213	563
55	217	560
56	222	557
57	226	554
58	230	551
59	234	547
60	238	543
61	240	535
62	244	531
63	248	527
64	249	519
65	253	515
66	257	511
67	262	508
68	266	505
69	270	502
70	274	499
71	278	495
72	282	491
73	286	488
74	291	485
75	295	482
76	299	478
77	303	475
78	307	471
79	311	467
80	315	463
81	320	460
82	324	457
83	328	453
84	332	449
85	336	446
86	341	443
87	345	439
88	349	435
89	353	431
90	357	428
91	361	424
92	365	420
93	369	416
94	373	412
95	377	409
96	381	405
97	385	401
98	390	398
99	394	394
100	399	391
101	403	387
102	407	383
103	411	380
104	416	376
105	420	372
106	424	369
107	428	365
108	432	361
109	436	357
110	441	353
111	445	349
112	449	345
113	453	342
114	457	338
115	461	334
116	466	330
117	470	326
118	474	323
119	478	319
120	482	315
121	487	311
122	491	307
123	495	303
124	499	299
125	504	296
126	507	291
127	511	287
128	516	284
129	520	280
130	524	276
131	528	272
132	532	268
133	536	264
134	540	260
135	544	256
136	549	252
137	553	248
138	556	244
139	561	240
140	565	236
141	569	232
142	573	228
143	577	224
144	581	220
145	586	217
146	590	213
147	595	209
148	599	205
149	603	201
150	608	197
151	613	193
152	617	189
153	621	185
154	625	181
155	629	177
156	633	173
157	638	169
158	642	165
159	646	161
160	649	157
161	654	153
162	657	149
163	661	145
164	666	141
165	670	137
166	674	133
167	680	129
168	685	125
169	689	121
170	693	117
171	697	113
172	701	109
173	706	105
174	710	101
175	714	97
176	718	93
177	723	89
178	727	85
179	731	81
180	735	77
181	740	73
182	744	69
183	748	65
184	752	61
185	756	56
186	760	52
187	764	48
188	768	44
189	772	40
190	776	36
191	780	32
192	784	28
193	788	24
194	792	20
195	796	16
196	799	12
197	803	8
198	807	4
199	811	0
