iter	Passed	Remaining
0	1	1028
1	2	1206
2	3	1174
3	4	1104
4	5	1052
5	5	987
6	6	951
7	7	925
8	8	911
9	9	892
10	9	879
11	10	863
12	11	850
13	12	845
14	13	857
15	13	849
16	14	861
17	15	858
18	16	858
19	17	871
20	19	911
21	20	906
22	20	887
23	21	881
24	22	874
25	23	872
26	24	873
27	25	873
28	25	865
29	26	865
30	27	866
31	28	869
32	29	868
33	30	863
34	31	857
35	31	851
36	32	845
37	33	840
38	34	839
39	34	838
40	35	833
41	36	828
42	36	823
43	37	818
44	38	814
45	39	812
46	40	813
47	40	810
48	43	843
49	44	840
50	45	838
51	45	834
52	46	833
53	47	834
54	48	831
55	49	828
56	49	825
57	50	825
58	51	825
59	52	822
60	53	820
61	54	817
62	54	813
63	55	811
64	56	808
65	56	805
66	57	802
67	58	798
68	58	795
69	59	792
70	60	790
71	61	789
72	62	787
73	62	783
74	63	780
75	63	777
76	64	773
77	65	769
78	65	767
79	66	764
80	67	765
81	68	763
82	68	760
83	69	758
84	70	755
85	70	754
86	71	752
87	72	750
88	73	749
89	73	747
90	74	745
91	75	744
92	76	743
93	76	742
94	77	739
95	78	737
96	79	736
97	79	734
98	80	736
99	81	735
100	82	733
101	83	731
102	83	729
103	84	727
104	85	725
105	85	723
106	86	721
107	87	719
108	87	717
109	88	715
110	89	713
111	89	711
112	90	708
113	90	706
114	91	705
115	92	703
116	92	701
117	93	699
118	94	698
119	94	696
120	95	694
121	96	692
122	96	691
123	97	689
124	98	687
125	98	686
126	99	685
127	100	683
128	101	682
129	101	680
130	102	679
131	103	679
132	103	677
133	104	675
134	105	674
135	105	672
136	106	670
137	107	670
138	107	668
139	108	667
140	109	666
141	109	664
142	110	662
143	111	661
144	111	659
145	112	658
146	113	657
147	114	656
148	114	654
149	115	653
150	115	651
151	116	650
152	117	648
153	117	647
154	118	646
155	119	644
156	119	643
157	120	641
158	121	640
159	121	639
160	122	639
161	123	638
162	124	637
163	124	636
164	125	634
165	126	633
166	126	632
167	127	630
168	128	629
169	128	628
170	129	627
171	130	626
172	130	625
173	131	624
174	132	622
175	132	621
176	133	620
177	134	619
178	135	620
179	135	619
180	136	618
181	137	617
182	137	615
183	138	615
184	139	614
185	140	613
186	140	612
187	141	611
188	142	611
189	143	610
190	143	609
191	144	608
192	145	608
193	146	607
194	147	607
195	147	606
196	148	605
197	149	605
198	150	604
199	150	603
200	151	602
201	152	601
202	152	599
203	153	598
204	154	597
205	154	596
206	155	595
207	155	593
208	156	592
209	157	591
210	157	590
211	158	589
212	159	587
213	159	587
214	160	586
215	161	585
216	161	584
217	162	583
218	163	582
219	163	580
220	164	579
221	165	578
222	165	578
223	166	576
224	167	575
225	167	574
226	168	573
227	169	572
228	169	571
229	170	570
230	171	569
231	171	568
232	172	567
233	173	566
234	173	565
235	174	563
236	174	563
237	175	562
238	176	561
239	177	560
240	177	559
241	178	558
242	179	558
243	179	557
244	180	556
245	181	555
246	182	555
